FMISID;LPNN;OBSDATE_UTC;OBSTIME_UTC;DATA_TIME;TS (degC);TS #2/1 -.05m (degC);TS #3/1 -.1m (degC);TS #4/1 -.2m (degC);TS #5/1 -.3m (degC);TS #6/1 -.5m (degC);TS #10/1 -2m (degC);TS #7/1 -.7m (degC);TS #8/1 -1m (degC);TS #9/1 -1.5m (degC);OZONE #37 (DU);OZONE #214 (DU);TA (degC);TG #14/1 (degC);TD (degC);RH (%);PA #2/1 (hPa);PA0_14;PRI avg 10M #4/1 (mm/h);PRA max 10M #4/1 (mm);PRIO avg 10M #7/1 (mm/h);VIS #7/1 (m);WAWA #7/1;WAWA_TXT #7/1_14;SND #5/1 (cm);WS #3/1 22.9m (m/s);WSD avg 10M #3/1 22.9m (m/s);WSP avg 10M #3/1 10m (m/s);WD #3/1 22.9m (deg);WDD avg 10M #3/1 22.9m (deg);WG #3/1 22.9m (m/s);WGD max 10M #3/1 22.9m (m/s);CLHB #6/1 (m);CLHB1_1_14;CLHB2_1_14;CLHB3_1_14;CLHB4_1_14;CLHB5_1_14;CLA acc #6/1 (1/8);CLA1_1_14;CLA2_1_14;CLA3_1_14;CLA4_1_14;CLA5_1_14;CLCBST instant 10M;CBST instant 10M;TCUST instant 10M;GSST instant 10M;GRST instant 10M
101932;7501;30.04.2026;00:00;2026-04-30 00:00:00;;;;;;;;;;;;;.5;0;0;96;1015.5;993;0;0;0;15982;81;HeikVesiKuur;38;1.4;1.4;1.6;205;205;2.1;2.1;300;300;;;;;8;8;0;0;0;0;0;2;0;2;0
101932;7501;30.04.2026;00:10;2026-04-30 00:10:00;;;;;;;;;;;;;.5;0;0;96;1015.6;993;.5;.1;0;17523;81;HeikVesiKuur;38;1.3;1.3;1.5;205;205;2.3;2.3;280;280;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;00:20;2026-04-30 00:20:00;;;;;;;;;;;;;.5;0;-.1;96;1015.6;993.1;0;0;0;18247;24;OliLumis;38;1.5;1.5;1.7;222;222;2.6;2.6;270;270;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;00:30;2026-04-30 00:30:00;;;;;;;;;;;;;.5;0;-.2;95;1015.5;993;0;0;0;17750;81;HeikVesiKuur;38;2.2;2.2;2.6;235;235;4;4;270;270;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;00:40;2026-04-30 00:40:00;;;;;;;;;;;;;.5;0;-.4;94;1015.6;993;0;0;0;19528;81;HeikVesiKuur;38;2.2;2.2;2.6;237;237;3.7;3.7;300;300;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;00:50;2026-04-30 00:50:00;;;;;;;;;;;;;.5;0;-.5;93;1015.5;992.9;0;0;0;20000;81;HeikVesiKuur;38;2.1;2.1;2.5;242;242;3.7;3.7;310;310;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;01:00;2026-04-30 01:00:00;;;;;;;;;;;;;.5;0;-.5;93;1015.6;993;0;0;0;20000;81;HeikVesiKuur;38;1.4;1.4;1.6;235;235;3;3;310;310;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;01:10;2026-04-30 01:10:00;;;;;;;;;;;;;.5;0;-.6;93;1015.6;993;0;0;0;19561;81;HeikVesiKuur;38;1.6;1.6;1.9;238;238;3.4;3.4;310;310;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;01:20;2026-04-30 01:20:00;;;;;;;;;;;;;.5;0;-.6;93;1015.6;993.1;0;0;0;18222;23;OliVesis;38;1.5;1.5;1.8;239;239;2.7;2.7;310;310;;;;;8;8;0;0;0;0;0;2;0;2;0
101932;7501;30.04.2026;01:30;2026-04-30 01:30:00;;;;;;;;;;;;;.4;0;-.7;92;1015.5;993;0;0;0;17023;23;OliVesis;38;1.1;1.1;1.3;240;240;2.3;2.3;300;300;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;01:40;2026-04-30 01:40:00;;;;;;;;;;;;;.5;0;-.6;92;1015.4;992.9;0;0;0;20000;23;OliVesis;38;.8;.8;.9;232;232;1.6;1.6;280;280;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;01:50;2026-04-30 01:50:00;;;;;;;;;;;;;.5;0;-.6;93;1015.4;992.8;0;0;0;19979;23;OliVesis;38;1.1;1.1;1.3;230;230;1.9;1.9;260;260;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;02:00;2026-04-30 02:00:00;;;;;;;;;;;;;.4;0;-.6;93;1015;992.4;0;0;0;20000;0;EiMerkS‰‰;38;1.4;1.4;1.6;213;213;2.2;2.2;250;250;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;02:10;2026-04-30 02:10:00;;;;;;;;;;;;;.4;0;-.5;94;1015.2;992.6;0;0;0;20000;0;EiMerkS‰‰;38;1.5;1.5;1.8;227;227;2.7;2.7;230;230;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;02:20;2026-04-30 02:20:00;;;;;;;;;;;;;.5;0;-.7;92;1015.2;992.6;0;0;0;20000;0;EiMerkS‰‰;38;1.5;1.5;1.8;234;234;2.7;2.7;230;230;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;02:30;2026-04-30 02:30:00;;;;;;;;;;;;;.5;0;-.6;93;1015.4;992.8;0;0;0;20000;0;EiMerkS‰‰;38;1.8;1.8;2.1;231;231;3.3;3.3;220;220;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;02:40;2026-04-30 02:40:00;;;;;;;;;;;;;.5;0;-.6;92;1015.5;992.9;0;0;0;20000;0;EiMerkS‰‰;38;1.9;1.9;2.1;249;249;3.6;3.6;210;210;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;02:50;2026-04-30 02:50:00;;;;;;;;;;;;;.6;0;-.5;93;1015.5;993;0;0;0;20000;0;EiMerkS‰‰;38;1.9;1.9;2.1;253;253;3.5;3.5;210;210;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;03:00;2026-04-30 03:00:00;;;;;;;;;;;;;.7;0;-.5;92;1015.3;992.8;0;0;0;20000;0;EiMerkS‰‰;38;1.2;1.2;1.4;260;260;2.3;2.3;210;210;;;;;8;8;0;0;0;0;0;2;0;2;0
101932;7501;30.04.2026;03:10;2026-04-30 03:10:00;;;;;;;;;;;;;.8;.1;-.4;92;1015.1;992.5;0;0;0;20000;0;EiMerkS‰‰;38;.3;.3;.3;193;193;.7;.7;200;200;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;03:20;2026-04-30 03:20:00;;;;;;;;;;;;;.9;.1;-.3;92;1015.2;992.7;0;0;0;20000;0;EiMerkS‰‰;38;1.1;1.1;1.3;239;239;2;2;200;200;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;03:30;2026-04-30 03:30:00;;;;;;;;;;;;;.8;.2;-.3;92;1015.3;992.8;0;0;0;20000;0;EiMerkS‰‰;38;1.3;1.3;1.5;245;245;2.3;2.3;190;190;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;03:40;2026-04-30 03:40:00;;;;;;;;;;;;;1;.2;-.2;92;1015.3;992.8;0;0;0;20000;0;EiMerkS‰‰;38;1.2;1.2;1.4;248;248;2.7;2.7;180;180;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;03:50;2026-04-30 03:50:00;;;;;;;;;;;;;1;.2;-.3;91;1015.3;992.7;0;0;0;20000;0;EiMerkS‰‰;37;2;2;2.3;246;246;3;3;180;180;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;04:00;2026-04-30 04:00:00;;;;;;;;;;;;;1;.2;-.3;91;1015.3;992.7;0;0;0;20000;0;EiMerkS‰‰;37;.9;.9;1.1;260;260;1.9;1.9;180;180;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;04:10;2026-04-30 04:10:00;;;;;;;;;;;;;1.2;.3;0;92;1015.4;992.9;0;0;0;20000;0;EiMerkS‰‰;37;1.7;1.7;2;270;270;3.4;3.4;180;180;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;04:20;2026-04-30 04:20:00;;;;;;;;;;;;;1.3;.4;.1;92;1015.4;992.9;0;0;0;20000;0;EiMerkS‰‰;37;1.7;1.7;2;282;282;3.8;3.8;170;170;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;04:30;2026-04-30 04:30:00;;;;;;;;;;;;;1.2;.4;.1;92;1015.3;992.7;0;0;0;20000;0;EiMerkS‰‰;37;1.8;1.8;2.1;283;283;3.3;3.3;160;160;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;04:40;2026-04-30 04:40:00;;;;;;;;;;;;;1.2;.4;.1;92;1015.2;992.7;0;0;0;20000;0;EiMerkS‰‰;37;1.6;1.6;1.9;278;278;2.7;2.7;150;150;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;04:50;2026-04-30 04:50:00;;;;;;;;;;;;;1.3;.6;.1;92;1015.1;992.6;0;0;0;20000;0;EiMerkS‰‰;37;.8;.8;1;300;300;2;2;150;150;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;05:00;2026-04-30 05:00:00;;;;;;;;;;;;;1.4;.6;.2;92;1015.4;992.9;0;0;0;20000;0;EiMerkS‰‰;37;1.2;1.2;1.4;261;261;2.4;2.4;150;150;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;05:10;2026-04-30 05:10:00;;;;;;;;;;;;;1.4;.5;.2;92;1015.4;993;0;0;0;20000;0;EiMerkS‰‰;37;2.2;2.2;2.7;258;258;3.7;3.7;160;160;;;;;8;8;0;0;0;0;0;2;0;2;0
101932;7501;30.04.2026;05:20;2026-04-30 05:20:00;;;;;;;;;;;;436.5;2;1.2;.4;89;1015.5;993;0;0;0;20000;0;EiMerkS‰‰;37;1.7;1.7;2;260;260;3.5;3.5;160;160;;;;;8;8;0;0;0;0;0;2;0;2;0
101932;7501;30.04.2026;05:30;2026-04-30 05:30:00;;;;;;;;;;;;;2.4;1.1;.5;88;1015.5;993;0;0;0;20000;0;EiMerkS‰‰;37;1.3;1.3;1.6;264;264;2.9;2.9;170;170;;;;;8;8;0;0;0;0;0;2;0;2;0
101932;7501;30.04.2026;05:40;2026-04-30 05:40:00;;;;;;;;;;;;;2.9;1.8;.5;84;1015.4;993;0;0;0;20000;0;EiMerkS‰‰;37;1.1;1.1;1.4;287;287;2.8;2.8;170;170;;;;;8;8;0;0;0;0;0;2;0;2;0
101932;7501;30.04.2026;05:50;2026-04-30 05:50:00;;;;;;;;;;;;;3.1;1.6;.6;84;1015.5;993.1;0;0;0;20000;0;EiMerkS‰‰;37;1.4;1.4;1.7;282;282;2.7;2.7;200;200;1600;;;;8;7;8;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;06:00;2026-04-30 06:00:00;;;;;;;;;;;;;3.6;2;.8;82;1015.7;993.3;0;0;0;20000;0;EiMerkS‰‰;37;1.7;1.7;2.1;292;292;3.4;3.4;220;220;770;;;;8;7;8;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;06:10;2026-04-30 06:10:00;;;;;;;;;;;;;3.9;2.3;.7;80;1015.6;993.3;0;0;0;20000;0;EiMerkS‰‰;37;1.8;1.8;2.3;301;301;3.7;3.7;240;240;750;1630;;;8;4;5;8;0;0;0;0;0;0;0
101932;7501;30.04.2026;06:20;2026-04-30 06:20:00;;;;;;;;;;;;;3.8;1.9;.7;80;1015.6;993.3;0;0;0;20000;0;EiMerkS‰‰;37;2.1;2.1;2.7;301;301;3.7;3.7;270;270;640;750;1620;;8;2;4;5;8;0;0;0;0;0;0
101932;7501;30.04.2026;06:30;2026-04-30 06:30:00;;;;;;;;;;;;;3.8;2;.7;80;1015.6;993.3;0;0;0;20000;0;EiMerkS‰‰;37;1.8;1.8;2.3;297;297;3.3;3.3;320;320;580;750;1620;;8;1;5;6;8;0;0;0;0;0;0
101932;7501;30.04.2026;06:40;2026-04-30 06:40:00;;;;;;;;;;;;;4.2;2.5;.9;79;1015.6;993.3;0;0;0;20000;0;EiMerkS‰‰;36;1.6;1.6;2;292;292;3.2;3.2;590;590;1620;;;;7;7;7;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;06:50;2026-04-30 06:50:00;;;;;;;;;;;;;4.6;2.6;1.1;78;1015.5;993.2;0;0;0;20000;0;EiMerkS‰‰;36;1.4;1.4;1.8;293;293;3;3;600;600;1450;2580;;;7;7;7;7;0;0;0;0;0;0;0
101932;7501;30.04.2026;07:00;2026-04-30 07:00:00;;;;;;;;;;;;;4.8;3.7;.9;76;1015.6;993.3;0;0;0;20000;0;EiMerkS‰‰;36;1.6;1.6;2;298;298;3.2;3.2;700;700;1410;;;;7;5;7;0;0;0;0;2;0;2;0
101932;7501;30.04.2026;07:10;2026-04-30 07:10:00;;;;;;;;;;;;407.8;5.1;4.7;1.1;75;1015.6;993.4;0;0;0;20000;0;EiMerkS‰‰;36;1.9;1.9;2.3;317;317;3.6;3.6;700;700;1410;;;;7;3;7;0;0;0;0;2;0;2;0
101932;7501;30.04.2026;07:20;2026-04-30 07:20:00;;;;;;;;;;;400.1;;5.5;5.2;1;73;1015.7;993.5;0;0;0;20000;0;EiMerkS‰‰;36;1.8;1.8;2.3;294;294;3.6;3.6;700;700;1420;;;;7;3;7;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;07:30;2026-04-30 07:30:00;;;;;;;;;;;;;5.2;4.7;.8;73;1015.8;993.6;0;0;0;20000;0;EiMerkS‰‰;36;2.3;2.3;2.7;276;276;4.1;4.1;460;460;710;1330;;;8;1;3;8;0;0;0;0;0;0;0
101932;7501;30.04.2026;07:40;2026-04-30 07:40:00;;;;;;;;;;;;;5.1;3;.9;74;1016;993.8;0;0;0;20000;0;EiMerkS‰‰;36;2.2;2.2;2.8;290;290;4.6;4.6;460;460;710;1240;;;8;1;2;8;0;0;0;2;0;2;0
101932;7501;30.04.2026;07:50;2026-04-30 07:50:00;;;;;;;;;;;;;5.1;3.1;1;75;1016;993.8;0;0;0;20000;0;EiMerkS‰‰;36;2.1;2.1;2.5;276;276;3.6;3.6;460;460;1140;;;;8;1;8;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;08:00;2026-04-30 08:00:00;;;;;;;;;;;;;5.2;3.7;1;74;1016;993.8;0;0;0;20000;0;EiMerkS‰‰;35;2.3;2.3;2.7;268;268;4.4;4.4;1030;1030;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;08:10;2026-04-30 08:10:00;;;;;;;;;;;;;5.4;3.8;1.1;74;1016.1;993.9;0;0;0;20000;0;EiMerkS‰‰;35;2.5;2.5;3;259;259;4.1;4.1;990;990;1380;;;;8;7;8;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;08:20;2026-04-30 08:20:00;;;;;;;;;;;;;5.3;3.6;1.1;74;1016.1;993.9;0;0;0;20000;0;EiMerkS‰‰;36;2.2;2.2;2.6;267;267;4.3;4.3;900;900;1380;;;;8;7;8;0;0;0;0;2;0;2;0
101932;7501;30.04.2026;08:30;2026-04-30 08:30:00;;;;;;;;;;;;;5.2;3.2;1;75;1016.2;994;0;0;0;20000;0;EiMerkS‰‰;36;2;2;2.4;270;270;4.1;4.1;880;880;1380;;;;8;7;8;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;08:40;2026-04-30 08:40:00;;;;;;;;;;;;;5.3;3.4;1.2;75;1016.3;994.1;0;0;0;20000;0;EiMerkS‰‰;36;2.2;2.2;2.6;265;265;4.1;4.1;870;870;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;08:50;2026-04-30 08:50:00;;;;;;;;;;;;;5.4;4.3;1.2;74;1016.3;994.1;0;0;0;20000;0;EiMerkS‰‰;36;2.3;2.3;2.7;283;283;4;4;840;840;;;;;8;8;0;0;0;0;0;2;0;2;0
101932;7501;30.04.2026;09:00;2026-04-30 09:00:00;;;;;;;;;;;;;5.9;5;1.3;73;1016.2;994;0;0;0;20000;0;EiMerkS‰‰;36;2.1;2.1;2.5;267;267;3.4;3.4;800;800;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;09:10;2026-04-30 09:10:00;;;;;;;;;;;;;6.2;6.8;1.3;71;1016.1;993.9;0;0;0;20000;0;EiMerkS‰‰;35;2.4;2.4;2.9;258;258;4.9;4.9;780;780;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;09:20;2026-04-30 09:20:00;;;;;;;;;;;;;6.2;5.5;1.3;71;1016.2;994.1;0;0;0;20000;0;EiMerkS‰‰;35;1.7;1.7;2;240;240;3.1;3.1;770;770;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;09:30;2026-04-30 09:30:00;;;;;;;;;;;;;6.7;5.8;1.5;69;1016.1;994;0;0;0;20000;0;EiMerkS‰‰;35;1.4;1.4;1.6;244;244;2.5;2.5;760;760;1700;;;;8;7;8;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;09:40;2026-04-30 09:40:00;;;;;;;;;;;;;6.6;6;1.6;70;1016.1;994;0;0;0;20000;0;EiMerkS‰‰;35;1.9;1.9;2.2;268;268;3.2;3.2;760;760;1700;;;;8;7;8;0;0;0;0;2;0;2;0
101932;7501;30.04.2026;09:50;2026-04-30 09:50:00;;;;;;;;;;;;;6.7;5.6;1.6;70;1016.1;994;0;0;0;20000;0;EiMerkS‰‰;35;2;2;2.4;271;271;3.6;3.6;770;770;1700;;;;8;7;8;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;10:00;2026-04-30 10:00:00;;;;;;;;;;;;;7;6.2;1.8;69;1016.1;994;0;0;0;20000;0;EiMerkS‰‰;35;2.1;2.1;2.5;279;279;4.1;4.1;790;790;;;;;8;8;0;0;0;0;0;2;0;2;0
101932;7501;30.04.2026;10:10;2026-04-30 10:10:00;;;;;;;;;;;;;7.4;7.2;1.8;68;1016.1;994.1;0;0;0;19895;0;EiMerkS‰‰;35;1.7;1.7;2;258;258;3.1;3.1;990;990;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;10:20;2026-04-30 10:20:00;;;;;;;;;;;;;7.3;7.4;1.8;68;1016.2;994.1;0;0;0;20000;0;EiMerkS‰‰;35;1.6;1.6;2;289;289;3.3;3.3;1090;1090;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;10:30;2026-04-30 10:30:00;;;;;;;;;;;;;7.2;6.4;1.8;69;1016.2;994.1;0;0;0;20000;0;EiMerkS‰‰;35;2.1;2.1;2.5;255;255;3.3;3.3;1130;1130;;;;;8;8;0;0;0;0;0;0;0;0;0
101932;7501;30.04.2026;10:40;2026-04-30 10:40:00;;;;;;;;;;;;;7.3;5.7;1.9;69;1016.3;994.2;0;0;0;20000;0;EiMerkS‰‰;35;1.8;1.8;2.1;279;279;3;3;1090;1090;;;;;8;8;0;0;0;0;0;0;0;0;0
